timestamp, amount, name
1745939051,1151660,tac-period1-9s-fs-eth
1745942651,1154764,tac-period1-9s-fs-eth
1745946251,1157869,tac-period1-9s-fs-eth
1745949851,1160973,tac-period1-9s-fs-eth
1745953451,1164077,tac-period1-9s-fs-eth
1745957051,1167181,tac-period1-9s-fs-eth
1745960651,1170285,tac-period1-9s-fs-eth
1745964251,1173390,tac-period1-9s-fs-eth
1745967851,1176494,tac-period1-9s-fs-eth
1745971451,1179598,tac-period1-9s-fs-eth
1745975051,1182702,tac-period1-9s-fs-eth
1745978651,1185807,tac-period1-9s-fs-eth
1745982251,1188911,tac-period1-9s-fs-eth
1745985851,1192015,tac-period1-9s-fs-eth
1745989451,1195119,tac-period1-9s-fs-eth
1745993051,1198223,tac-period1-9s-fs-eth
1745996651,1201328,tac-period1-9s-fs-eth
1746000251,1204432,tac-period1-9s-fs-eth
1746003851,1207536,tac-period1-9s-fs-eth
1746007451,1210640,tac-period1-9s-fs-eth
1746011051,1213744,tac-period1-9s-fs-eth
1746014651,1216849,tac-period1-9s-fs-eth
1746018251,1219953,tac-period1-9s-fs-eth
1746021851,1223057,tac-period1-9s-fs-eth
1746025451,1226161,tac-period1-9s-fs-eth
1746029051,1229265,tac-period1-9s-fs-eth
1746032651,1232370,tac-period1-9s-fs-eth
1746036251,1235474,tac-period1-9s-fs-eth
1746039851,1238578,tac-period1-9s-fs-eth
1746043451,1241682,tac-period1-9s-fs-eth
1746047051,1244786,tac-period1-9s-fs-eth
1746050651,1247891,tac-period1-9s-fs-eth
1746054251,1250995,tac-period1-9s-fs-eth
1746057851,1254099,tac-period1-9s-fs-eth
1746061451,1257203,tac-period1-9s-fs-eth
1746065051,1260307,tac-period1-9s-fs-eth
1746068651,1263412,tac-period1-9s-fs-eth
1746072251,1266516,tac-period1-9s-fs-eth
1746075851,1269620,tac-period1-9s-fs-eth
1746079451,1272724,tac-period1-9s-fs-eth
1746083051,1275828,tac-period1-9s-fs-eth
1746086651,1278933,tac-period1-9s-fs-eth
1746090251,1282037,tac-period1-9s-fs-eth
1746093851,1285141,tac-period1-9s-fs-eth
1746097451,1288245,tac-period1-9s-fs-eth
1746101051,1291350,tac-period1-9s-fs-eth
1746104651,1294454,tac-period1-9s-fs-eth
1746108251,1297558,tac-period1-9s-fs-eth
1746111851,1300662,tac-period1-9s-fs-eth
1746115451,1303766,tac-period1-9s-fs-eth
1746119051,1306871,tac-period1-9s-fs-eth
1746122651,1309975,tac-period1-9s-fs-eth
1746126251,1313079,tac-period1-9s-fs-eth
1746129851,1316183,tac-period1-9s-fs-eth
1746133451,1319287,tac-period1-9s-fs-eth
1746137051,1322392,tac-period1-9s-fs-eth
1746140651,1325496,tac-period1-9s-fs-eth
1746144251,1328600,tac-period1-9s-fs-eth
1746147851,1331704,tac-period1-9s-fs-eth
1746151451,1334808,tac-period1-9s-fs-eth
1746155051,1337913,tac-period1-9s-fs-eth
1746158651,1341017,tac-period1-9s-fs-eth
1746162251,1344121,tac-period1-9s-fs-eth
1746165851,1347225,tac-period1-9s-fs-eth
1746169451,1350329,tac-period1-9s-fs-eth
1746173051,1353434,tac-period1-9s-fs-eth
